product_id,brand,product_name,category,variants_sizes,current_image,external_image_url,source_url,current_display_image_url
4,Whiskas,Whiskas Adult Mackerel Dry Cat Food,cat_food,"[{""variant_id"": 15, ""size"": ""480 g""}, {""variant_id"": 16, ""size"": ""1.2 KG""}]",media/products/product-4-Whiskas_z73wn2,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-4-Whiskas_z73wn2
5,Whiskas,Whiskas Adult Chicken Dry Cat Food,cat_food,"[{""variant_id"": 17, ""size"": ""480 g""}, {""variant_id"": 18, ""size"": ""1.2 KG""}]",media/products/product-5-Whiskas_t5tnba,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-5-Whiskas_t5tnba
6,Whiskas,Whiskas Kitten Ocean Fish Dry Cat Food,cat_food,"[{""variant_id"": 19, ""size"": ""450 g""}, {""variant_id"": 20, ""size"": ""1.1 KG""}]",media/products/product-6-Whiskas_lnr5pf,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-6-Whiskas_lnr5pf
7,Whiskas,Whiskas Tuna in Gravy Adult Wet Cat Food,cat_food,"[{""variant_id"": 21, ""size"": ""85 g""}, {""variant_id"": 22, ""size"": ""1.02 KG""}]",media/products/product-7-Whiskas_ezjpae,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-7-Whiskas_ezjpae
8,Whiskas,Whiskas Chicken in Gravy Adult Wet Cat Food,cat_food,"[{""variant_id"": 23, ""size"": ""85 g""}, {""variant_id"": 24, ""size"": ""1.02 KG""}]",media/products/product-8-Whiskas_bsnsfp,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-8-Whiskas_bsnsfp
9,Whiskas,Whiskas Mackerel in Gravy Adult Wet Cat Food,cat_food,"[{""variant_id"": 25, ""size"": ""85 g""}, {""variant_id"": 26, ""size"": ""1.02 KG""}]",media/products/product-9-Whiskas_jkqjf2,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-9-Whiskas_jkqjf2
10,Whiskas,Whiskas Salmon in Gravy Adult Wet Cat Food,cat_food,"[{""variant_id"": 27, ""size"": ""85 g""}, {""variant_id"": 28, ""size"": ""1.02 KG""}]",media/products/product-10-Whiskas_refyml,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-10-Whiskas_refyml
11,Whiskas,Whiskas Kitten Tuna in Gravy Wet Cat Food,cat_food,"[{""variant_id"": 29, ""size"": ""85 g""}, {""variant_id"": 30, ""size"": ""1.02 KG""}]",media/products/product-11-Whiskas_inrmqg,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-11-Whiskas_inrmqg
12,Me-O,Me-O Adult Tuna Dry Cat Food,cat_food,"[{""variant_id"": 31, ""size"": ""450 g""}, {""variant_id"": 32, ""size"": ""1.2 KG""}, {""variant_id"": 33, ""size"": ""3 KG""}]",media/products/product-12-Me-O_f3v5sh,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-12-Me-O_f3v5sh
13,Me-O,Me-O Adult Mackerel Dry Cat Food,cat_food,"[{""variant_id"": 34, ""size"": ""450 g""}, {""variant_id"": 35, ""size"": ""1.2 KG""}, {""variant_id"": 36, ""size"": ""3 KG""}]",media/products/product-13-Me-O_daj4y3,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-13-Me-O_daj4y3
14,Me-O,Me-O Adult Seafood Dry Cat Food,cat_food,"[{""variant_id"": 37, ""size"": ""450 g""}, {""variant_id"": 38, ""size"": ""1.2 KG""}]",media/products/product-14-Me-O_ymag7b,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-14-Me-O_ymag7b
15,Me-O,Me-O Persian Adult Cat Food,cat_food,"[{""variant_id"": 39, ""size"": ""400 g""}, {""variant_id"": 40, ""size"": ""1.1 KG""}]",media/products/product-15-Me-O_u7lnir,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-15-Me-O_u7lnir
16,Me-O,Me-O Kitten Dry Cat Food,cat_food,"[{""variant_id"": 41, ""size"": ""400 g""}, {""variant_id"": 42, ""size"": ""1.1 KG""}]",media/products/product-16-Me-O_fmzs8y,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-16-Me-O_fmzs8y
17,Me-O,Me-O Tuna Chunk in Gravy Wet Cat Food,cat_food,"[{""variant_id"": 43, ""size"": ""80 g""}, {""variant_id"": 44, ""size"": ""960 g""}]",media/products/product-17-Me-O_trkst8,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-17-Me-O_trkst8
18,Royal Canin,Royal Canin Fit 32 Adult Dry Cat Food,cat_food,"[{""variant_id"": 45, ""size"": ""400 g""}, {""variant_id"": 46, ""size"": ""2 KG""}, {""variant_id"": 47, ""size"": ""4 KG""}]",media/products/product-18-Royal-Canin_ckl1ml,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-18-Royal-Canin_ckl1ml
19,Royal Canin,Royal Canin Indoor 27 Adult Dry Cat Food,cat_food,"[{""variant_id"": 48, ""size"": ""400 g""}, {""variant_id"": 49, ""size"": ""2 KG""}]",media/products/product-19-Royal-Canin_ach1eg,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-19-Royal-Canin_ach1eg
20,Royal Canin,Royal Canin Persian Adult Dry Cat Food,cat_food,"[{""variant_id"": 50, ""size"": ""400 g""}, {""variant_id"": 51, ""size"": ""2 KG""}, {""variant_id"": 52, ""size"": ""4 KG""}]",media/products/product-20-Royal-Canin_xumttl,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-20-Royal-Canin_xumttl
